Algorithm,Case_Range,Average_JCT_Seconds,Average_Queue_Delay_Seconds,Average_DDL_Violation_Duration_Seconds,Total_DDL_Violation_Duration_Seconds,DDL_Violated_Jobs_Count,Finished_Jobs_Count,Do_Schedule_Count,Average_Do_Schedule_Duration_ms,Max_Do_Schedule_Duration_ms
Gavel,0-50,17309.92,81.3,10751.999999999989,21503.999999999978,2,50,51,0,1
Gavel,0-60,16952.716666666664,311.68333333333334,0.0,0.0,0,60,61,0,2
Gavel,0-70,27017.885714285716,774.9571428571429,0.0,0.0,0,70,71,0,2
Gavel,0-80,24235.599999999995,1253.95,24388.333333333216,73164.99999999965,3,80,81,0,2
Gavel,0-90,24205.68888888889,1553.3777777777777,3385.499999999994,6770.999999999988,2,90,91,0,2
Gavel,0-100,26676.32999999999,1898.05,20969.99999999989,83879.99999999956,4,100,101,0,1
Gavel,0-110,23485.29090909091,2097.7181818181816,8047.333333333322,24141.999999999967,3,110,111,0,3
Gavel,0-120,21066.05833333333,2437.4166666666665,9299.999999999985,46499.99999999993,5,120,121,0,2
Gavel,0-130,20178.96923076923,2779.2,11049.749999999993,44198.99999999997,4,130,130,0,3
Gavel,0-140,21241.935714285715,3300.907142857143,15396.166666666626,92376.99999999975,6,140,140,0,2
Gavel,0-150,23682.573333333334,3706.826666666667,13753.285714285666,96272.99999999967,7,150,150,0,2
Gavel,0-160,25861.843749999996,4309.09375,14647.333333333276,87883.99999999965,6,160,160,0,2
Gavel,0-170,24941.023529411767,4706.917647058824,13414.24999999997,160970.99999999965,12,170,170,0,2
Gavel,0-180,23583.01111111111,5040.311111111111,4841.999999999999,43577.99999999999,9,180,181,0,1
Gavel,0-190,21277.121052631577,5180.8,5322.416666666663,63868.999999999956,12,190,191,0,2
Gavel,0-200,23476.3,5569.385,11772.214285714246,164810.99999999945,14,200,201,0,2
Gavel,0-210,22937.042857142853,6143.761904761905,11919.294117647034,202627.9999999996,17,210,211,0,2
Gavel,0-220,23756.76818181818,6667.318181818182,8538.611111111088,153694.9999999996,18,220,221,0,1
Gavel,0-230,24033.01739130435,7043.917391304348,10201.24999999998,204024.9999999996,20,230,231,0,1
Gavel,0-240,24013.341666666667,7229.8875,9834.523809523793,206524.99999999965,21,240,241,0,1
Gavel,0-250,22519.04,7729.264,9936.238095238088,208660.99999999985,21,250,249,0,2
Gavel,0-260,22217.953846153847,8245.373076923077,9953.636363636364,218980.0,22,260,260,0,2
Gavel,0-270,24228.55185185185,8749.933333333332,13619.42307692306,354104.99999999953,26,270,269,0,2
Gavel,0-280,25764.299999999996,9436.0,11350.639999999972,283765.9999999993,25,280,278,0,1
Gavel,0-290,25217.33103448276,9772.020689655172,7731.888888888888,208760.99999999997,27,290,290,0,1
Gavel,0-300,27738.143333333333,10160.513333333334,10121.799999999992,303653.99999999977,30,300,298,0,2
Gavel,0-310,29928.43870967742,10611.774193548386,13869.580645161272,429956.9999999994,31,310,309,0,2
Gavel,0-320,29108.140625,11142.74375,7386.875,236380.0,32,320,320,0,2
Gavel,0-330,27799.957575757577,11597.59696969697,8899.444444444445,320380.0,36,330,329,0,1
Gavel,0-340,29442.641176470588,12363.155882352941,13158.358974358964,513175.9999999996,39,340,339,0,1
Gavel,0-350,29550.434285714287,12756.66,8922.846153846152,347990.99999999994,39,350,350,0,2
Gavel,0-360,30506.816666666666,13373.016666666666,9869.282051282049,384901.9999999999,39,360,359,0,1
Gavel,0-370,30866.359459459458,13687.324324324325,8817.999999999998,387991.99999999994,44,370,369,0,2
Gavel,0-380,31607.32894736842,13872.228947368421,10517.142857142853,515339.9999999998,49,380,378,0,0
Gavel,0-390,30137.09487179487,14186.853846153846,9199.265306122446,450763.9999999999,49,390,386,0,1
Gavel,0-400,31136.025,14722.915,9803.849056603774,519604.00000000006,53,400,398,0,1
Allox,0-10,2907.1,0.0,0.0,0.0,0,10,1,37,37
Allox,0-20,5294.35,0.0,0.0,0.0,0,20,1,105,105
Allox,0-30,13589.566666666664,0.0,0.0,0.0,0,30,1,241,241
Allox,0-40,13142.65,404.0,0.0,0.0,0,40,1,527,527
Allox,0-50,12911.06,675.18,0.0,0.0,0,50,1,1035,1035
Allox,0-60,16161.166666666666,769.5166666666667,852.9999999999995,852.9999999999995,1,60,1,1952,1952
Allox,0-70,19094.814285714285,1222.1285714285714,1715.7499999999914,6862.999999999965,4,70,1,3493,3493
Allox,0-80,18680.549999999996,1537.225,1477.9999999999893,2955.9999999999786,2,80,1,5507,5507
Allox,0-90,17343.688888888886,1716.4888888888888,2025.4999999999927,4050.9999999999854,2,90,1,8302,8302
Allox,0-100,17935.26,2113.25,2621.3333333333335,7864.0,3,100,1,12266,12266
Allox,0-110,16975.418181818182,2285.1363636363635,2426.9999999999945,4853.999999999989,2,110,1,16634,16634
Allox,0-120,17031.558333333334,2782.5666666666666,1719.6,8598.0,5,120,1,22791,22791
Allox,0-130,17681.361538461537,3291.5153846153844,2477.999999999998,14867.999999999989,6,130,1,31158,31158
Allox,0-140,17772.485714285714,3781.2714285714287,2289.4999999999995,13736.999999999996,6,140,1,38572,38572
Allox,0-150,17360.38,4023.8733333333334,3217.0,22519.0,7,150,1,56023,56023
Allox,0-160,18569.425,4629.03125,3879.999999999998,23279.99999999999,6,160,1,69558,69558
Allox,0-170,19064.988235294117,5220.547058823529,4524.999999999998,22624.999999999993,5,170,1,87516,87516
Allox,0-180,19289.705555555556,5634.177777777778,2168.8571428571418,15181.999999999993,7,180,1,105405,105405
Allox,0-190,18941.005263157895,5846.363157894737,1987.9166666666642,23854.99999999997,12,190,1,125583,125583
Allox,0-200,18861.255,6199.665,3000.8181818181793,33008.99999999997,11,200,1,153241,153241
Allox,0-210,19010.60476190476,6597.966666666666,2782.4666666666644,41736.99999999996,15,210,1,179304,179304
Allox,0-220,19562.213636363635,7061.613636363636,3574.3529411764684,60763.99999999996,17,220,1,209185,209185
Allox,0-230,19701.395652173913,7447.526086956522,4840.937499999998,77454.99999999997,16,230,1,242622,242622
Allox,0-240,19648.783333333333,7656.829166666666,4375.277777777775,78754.99999999994,18,240,1,279603,279603
Allox,0-250,20443.448,8313.708,3619.599999999997,72391.99999999994,20,250,1,323163,323163
